Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Median,Min,Max,Iterations,Rank
TestGetAllOrdersFromCache,Job-RTWLGZ,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,50,974.0 μs,838.7 μs,"4,371.1 μs",456.2 μs,342.3 μs,"44,776.8 μs",300.0,1
TestGetOrderByIdFromCache,Job-RTWLGZ,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,50,974.4 μs,846.3 μs,"4,410.6 μs",479.2 μs,363.6 μs,"44,892.7 μs",300.0,1
TestGetAllOrderFromOrderServer,Job-RTWLGZ,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,50,"2,772.6 μs",917.4 μs,"4,781.2 μs","2,261.0 μs","1,870.2 μs","51,749.7 μs",300.0,2
TestGetOrderByIdFromOrderServer,Job-RTWLGZ,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,50,"3,653.9 μs","2,392.5 μs","12,469.1 μs","2,543.5 μs","2,065.9 μs","209,138.9 μs",300.0,3
TestPurchaseBookFromOrderWithCache,Job-RTWLGZ,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,100,Default,3,Default,Default,Default,Default,Default,ColdStart,1,50,"674,324.0 μs","16,630.0 μs","86,671.1 μs","651,113.9 μs","632,588.2 μs","1,954,112.6 μs",300.0,4
